N,종목명,현재가,전일비,등락률,액면가,시가총액,상장주식수,외국인비율,거래량,PER,ROE
1,삼성전자,"75,700",100,+0.13%,100,"4,519,125","5,969,783",51.70,"22,272,615",15.94,9.99,
2,SK하이닉스,"103,500","1,500",-1.43%,"5,000","753,482","728,002",46.13,"3,166,917",12.95,9.53,
3,NAVER,"430,500","7,000",-1.60%,100,"707,154","164,263",56.97,"627,990",4.28,15.22,
4,카카오,"151,000","2,000",+1.34%,100,"671,508","444,707",31.95,"2,888,834",140.73,2.70,
5,삼성바이오로직스,"963,000","7,000",+0.73%,"2,500","637,169","66,165",10.56,"197,840",190.32,N/A,
6,삼성전자우,"70,500",500,-0.70%,100,"580,135","822,887",75.29,"1,404,030",14.85,N/A,
7,LG화학,"799,000","12,000",+1.52%,"5,000","564,033","70,592",47.29,"409,234",21.52,2.93,
8,삼성SDI,"776,000","6,000",+0.78%,"5,000","533,613","68,765",44.72,"241,654",57.49,4.54,
9,현대차,"209,500",0,0.00%,"5,000","447,635","213,668",28.54,"474,703",15.18,2.04,
10,카카오뱅크,"82,100","3,300",-3.86%,"5,000","390,057","475,100",5.11,"4,372,164",265.70,5.08,
11,셀트리온,"282,000",500,-0.18%,"1,000","388,976","137,935",20.90,"445,607",66.12,16.68,
12,기아,"81,600",400,+0.49%,"5,000","330,776","405,363",33.55,"768,472",9.52,5.05,
13,POSCO,"326,000","6,000",+1.88%,"5,000","284,229","87,187",53.96,"434,099",7.37,3.61,
14,삼성물산,"133,500","2,000",+1.52%,100,"249,494","186,887",14.97,"289,990",15.23,3.81,
15,현대모비스,"263,000",500,+0.19%,"5,000","249,306","94,793",35.52,"165,190",11.29,4.66,
16,LG전자,"142,000",0,0.00%,"5,000","232,380","163,648",31.67,"802,867",17.18,13.23,
17,LG생활건강,"1,441,000","9,000",-0.62%,"5,000","225,058","15,618",45.38,"22,306",30.25,17.92,
18,SK이노베이션,"243,000","5,000",+2.10%,"5,000","224,691","92,466",22.60,"377,990",-50.34,-13.58,
19,KB금융,"53,700","1,200",+2.29%,"5,000","223,289","415,808",67.36,"1,210,009",5.59,8.53,
20,크래프톤,"451,000","9,000",-1.96%,100,"220,530","48,898",5.76,"541,114",40.73,61.86,
21,SK바이오사이언스,"280,000","24,000",-7.89%,500,"214,200","76,500",3.84,"1,950,226",136.39,13.25,
22,SK텔레콤,"294,000","2,000",-0.68%,500,"211,857","72,060",46.86,"262,266",13.54,6.44,
23,신한지주,"38,950",300,+0.78%,"5,000","201,216","516,600",60.12,"942,179",5.47,8.20,
24,SK,"262,500","2,500",-0.94%,200,"184,696","70,360",19.60,"233,206",16.94,1.11,
25,엔씨소프트,"837,000","10,000",-1.18%,500,"183,755","21,954",51.54,"111,866",44.93,20.83,
26,HMM,"39,650",350,+0.89%,"5,000","160,738","405,392",9.45,"4,080,616",25.11,8.93,
27,한국전력,"24,150",0,0.00%,"5,000","155,034","641,964",15.40,"1,061,859",13.00,2.91,
28,SK아이이테크놀로지,"208,000","4,000",+1.96%,"1,000","148,299","71,298",8.77,"232,129",136.75,11.00,
29,삼성생명,"74,100",200,+0.27%,500,"148,200","200,000",12.93,"218,816",6.98,3.53,
30,LG,"93,800",500,+0.54%,"5,000","147,548","157,301",33.23,"209,306",5.88,7.50,
31,하나금융지주,"44,900",650,+1.47%,"5,000","134,809","300,242",67.84,"780,222",4.79,8.96,
32,삼성에스디에스,"172,000",500,+0.29%,500,"133,090","77,378",11.60,"81,121",20.66,6.71,
33,삼성전기,"173,000","1,500",+0.87%,"5,000","129,220","74,694",32.69,"382,205",15.08,10.92,
34,아모레퍼시픽,"220,500","5,000",-2.22%,500,"128,901","58,458",33.53,"125,740",154.30,0.78,
35,포스코케미칼,"153,000","11,000",+7.75%,500,"118,519","77,463",7.72,"1,077,751",110.55,2.96,
36,넷마블,"136,500","4,500",+3.41%,100,"117,327","85,954",22.62,"403,652",37.13,6.35,
37,KT&G,"81,500",200,+0.25%,"5,000","111,893","137,292",37.12,"247,643",9.71,13.22,
38,하이브,"285,500","3,000",-1.04%,500,"111,490","39,051",16.49,"99,675",101.57,12.52,
39,삼성화재,"226,500","3,000",+1.34%,500,"107,304","47,375",48.43,"87,415",11.29,4.96,
40,두산중공업,"20,850",100,+0.48%,"5,000","107,142","513,869",10.38,"4,086,392",-49.52,-37.20,
41,대한항공,"30,300",500,+1.68%,"5,000","105,390","347,821",10.99,"2,806,964",15.77,-7.22,
42,S-Oil,"91,500","1,000",+1.10%,"2,500","103,013","112,583",78.08,"132,447",11.77,-13.07,
43,고려아연,"516,000","8,000",+1.57%,"5,000","97,369","18,870",20.17,"41,472",15.10,8.37,
44,SK바이오팜,"118,000","1,000",+0.85%,500,"92,410","78,313",6.59,"150,355",-171.26,-135.18,
45,KT,"32,800",200,+0.61%,"5,000","85,645","261,112",44.26,"554,129",11.38,4.76,
46,한온시스템,"15,800",0,0.00%,100,"84,340","533,800",17.85,"618,898",62.45,5.09,
47,한국조선해양,"118,500","1,000",-0.84%,"5,000","83,866","70,773",17.85,"434,635",-9.07,-7.42,
48,롯데케미칼,"242,500",0,0.00%,"5,000","83,118","34,275",26.74,"99,077",6.95,1.22,
49,우리금융지주,"11,000",50,+0.46%,"5,000","79,449","722,268",28.14,"1,528,517",5.46,5.87,
50,기업은행,"10,350",100,+0.98%,"5,000","77,035","744,301",12.85,"936,781",5.07,6.44,
51,한화솔루션,"40,000","1,950",+5.12%,"5,000","76,511","191,278",17.10,"1,557,270",9.92,5.30,
52,LG디스플레이,"20,100",150,+0.75%,"5,000","71,921","357,816",17.27,"2,341,168",21.29,-0.79,
53,현대글로비스,"185,000","2,000",+1.09%,500,"69,375","37,500",34.68,"78,088",10.29,12.45,
